timestamp, x, y, orientation, signal strength, ping time
1477454533360320.00,4.64917278,0.01065582,-0.00453786,-39,1.01
1477454533446390.00,4.6785984,0.01051287,-0.00471239,-41,0.9
1477454533546380.00,4.70836496,0.01037175,-0.00488692,-48,0.94
1477454533649620.00,4.72793913,0.01028462,-0.00436332,-40,0.85
1477454533739600.00,4.75770569,0.01014259,-0.00453786,-37,3.89
1477454533836900.00,4.77745056,0.01006638,-0.00279253,-41,0.9
1477454533944920.00,4.80679083,0.0099488,-0.00767945,-37,1.13
1477454534053490.00,4.83642817,0.00964735,-0.01291544,-38,1.15
1477454534153790.00,4.86120367,0.00931436,-0.01239184,-42,2.44
1477454534249060.00,4.87587261,0.00913169,-0.01396263,-36,0.89
1477454534346560.00,4.90486717,0.0086215,-0.01972222,-39,0.92
1477454534453670.00,4.93403196,0.00805814,-0.02007129,-38,1.15
1477454534560780.00,4.95364523,0.00767912,-0.01762783,-36,0.93
1477454534657930.00,4.9743681,0.00732275,-0.0158825,-34,3.45
1477454534750580.00,5.00933409,0.0068091,-0.01343904,-34,0.93
1477454534841550.00,5.03406668,0.00648963,-0.01291544,-34,0.96
1477454534941780.00,5.05385256,0.00622106,-0.01413717,-33,0.88
1477454535046650.00,5.08336115,0.00580988,-0.01291544,-33,1.06
1477454535143460.00,5.09321165,0.00568437,-0.0122173,-33,0.92
1477454535243860.00,5.12284803,0.00531881,-0.01204277,-30,0.85
1477454535342630.00,5.15248537,0.0049912,-0.01012291,-30,1.21
1477454535441550.00,5.18195248,0.00471778,-0.00767945,-30,0.89
1477454535540510.00,5.19197416,0.00464171,-0.00715585,-34,1.06
1477454535644560.00,5.22174025,0.00446404,-0.00418879,-31,1.05
1477454535742450.00,5.25133657,0.00434006,-0.00436332,-34,1.16
1477454535843740.00,5.28097534,0.00421505,-0.00401426,-34,1.15
1477454535940500.00,5.29086924,0.00417534,-0.00366519,-33,0.9
1477454536045090.00,5.320508,0.00408128,-0.00279253,-34,4.14
1477454536142970.00,5.36038208,0.00400661,-0.00087266,-36,0.93
1477454536282960.00,5.37040377,0.0040005,0.00034907,-37,10.7
1477454536371780.00,5.40498972,0.0040539,0.00279253,-34,1.18
1477454536467390.00,5.42008638,0.00409872,0.00349066,-33,3.34
1477454536555940.00,5.4499383,0.00423178,0.00575959,-31,1.35
1477454536657500.00,5.47970438,0.00441538,0.00645772,-34,1.19
1477454536756080.00,5.50951338,0.00462177,0.00715585,-37,0.96
1477454536855960.00,5.52938604,0.00477083,0.00820305,-36,1.01
1477454536955650.00,5.54904509,0.00492167,0.00628319,-39,0.86
1477454537055870.00,5.56891775,0.0050387,0.00610865,-44,1.25
1477454537154180.00,5.5988121,0.00523425,0.00785398,-42,1.13
1477454537257830.00,5.62853527,0.00546513,0.00715585,-48,0.88
1477454537378590.00,5.64845037,0.00561815,0.00855211,-48,1.21
1477454537466670.00,5.66832304,0.00578545,0.00820305,-44,0.91
1477454537583560.00,5.69813156,0.00603261,0.00820305,-45,1.73
1477454537679960.00,5.72772694,0.00626074,0.00698132,-54,1.03
1477454537764970.00,5.74764204,0.00639367,0.00628319,-56,0.91
1477454537868860.00,5.77723789,0.00657794,0.00558505,-52,3.2
1477454537955850.00,5.80704737,0.00673491,0.00523599,-47,0.91
1477454538056270.00,5.81694078,0.00678672,0.00506145,-51,0.92
1477454538156340.00,5.8464942,0.00691558,0.00314159,-57,1.36
1477454538259980.00,5.87609053,0.00702403,0.00436332,-53,0.91
1477454538372550.00,5.90564394,0.00714956,0.00383972,-53,0.93
1477454538468420.00,5.91549492,0.00718653,0.00331613,-48,0.92
1477454538556160.00,5.94509125,0.00725968,0.0020944,-52,0.95
1477454538658510.00,5.97481537,0.0073332,0.00226893,-45,0.95
1477454538757750.00,5.9945178,0.0073719,0.00139626,-45,0.91
1477454538871670.00,6.02432775,0.00739873,0.00034907,-51,0.95
1477454538991980.00,6.04403019,0.00741075,0.00087266,-46,1.03
1477454539094520.00,6.07362652,0.00744173,0.0015708,-52,0.9
1477454539179410.00,6.09332895,0.00747611,0.00174533,-45,1.48
1477454539281310.00,6.11328697,0.00751879,0.00261799,-46,2.26
1477454539378450.00,6.14774513,0.00760728,0.00139626,-46,0.87
1477454539471540.00,6.17239428,0.00762626,0.0005236,-41,1.16
1477454539583490.00,6.20220423,0.00763919,-0.0005236,-40,0.94
1477454539675130.00,6.23192835,0.00762711,0.0005236,-40,0.9
1477454539776760.00,6.24182224,0.00763315,0.0005236,-37,1.16
1477454539877610.00,6.27146101,0.0076582,0.00139626,-37,0.94
